 ,Label,Area,Mean,StdDev,Min,Max,Perim.
151,slice0009_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:2324-3222,3.693,3.049,0.436,2.300,3.625,7.622
152,slice0009_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:3168-4102,0.410,2.778,0.000,2.778,2.778,2.562
153,slice0009_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:3167-4105,3.693,2.781,0.348,2.400,3.375,7.247
154,slice0009_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:4032-3369,11.899,2.785,0.469,2.091,4.000,16.901
155,slice0009_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:6249-2251,63.188,4.054,0.902,2.000,6.267,30.178
156,slice0009_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:6400-3857,2.052,2.892,0.532,2.429,3.800,4.905
157,slice0009_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:6661-4318,5.334,2.966,0.270,2.333,3.333,13.963
158,slice0009_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:7810-2476,69.343,5.098,1.106,2.909,8.125,30.554
159,slice0009_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:8138-2537,3.283,3.023,0.381,2.700,3.625,5.811
160,slice0009_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:8323-2211,5.744,4.052,0.516,3.273,5.125,10.871
161,slice0009_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:8341-5683,7.386,3.135,0.837,1.947,5.111,9.279
162,slice0009_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:8370-4575,6.975,4.499,0.847,2.900,5.857,8.903
163,slice0009_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:4642-4619,31015443.858,1.067,0.115,0.000,13.000,23728.782
164,slice0010_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:2324-3210,7.386,3.042,0.456,2.333,3.857,10.715
165,slice0010_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:2324-3222,1.641,3.100,0.326,2.778,3.500,4.529
166,slice0010_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:3169-4106,5.744,2.975,0.389,2.364,3.750,8.373
167,slice0010_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:4032-3369,14.771,2.805,0.356,2.100,3.667,17.056
168,slice0010_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:6249-2250,51.289,3.362,0.679,1.933,5.545,26.555
169,slice0010_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:6402-3857,0.821,2.864,0.193,2.727,3.000,3.843
170,slice0010_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:6661-4317,0.410,2.000,0.000,2.000,2.000,2.562
171,slice0010_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:6662-4319,0.410,2.700,0.000,2.700,2.700,2.562
172,slice0010_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:7811-2476,67.291,5.128,1.150,2.800,8.375,30.554
173,slice0010_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:8139-2537,1.641,3.365,0.606,2.889,4.250,4.905
