 ,Label,Area,Mean,StdDev,Min,Max,Perim.
213,slice0006_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:08228-06202,12.309,4.014,0.641,2.833,5.625,13.058
214,slice0006_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:08780-03153,10.668,4.155,0.552,3.273,5.750,11.996
215,slice0006_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:08913-08235,11.899,4.042,0.598,2.900,5.250,11.996
216,slice0006_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:09261-05940,3.693,3.296,0.510,2.615,4.375,7.687
217,slice0006_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:09430-04936,127.197,5.701,2.330,2.278,15.667,43.520
218,slice0006_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:09517-04414,18.874,3.867,0.644,2.700,5.250,15.995
219,slice0006_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:09713-02991,17.233,3.443,0.384,2.385,4.250,15.995
220,slice0006_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:09859-04350,19.285,4.451,0.848,2.778,6.333,15.464
221,slice0006_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:09907-07481,19.695,5.000,1.086,2.615,6.889,15.995
222,slice0006_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:05576-05573,40086231.959,1.052,0.112,0.000,15.667,28567.547
223,slice0007_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:04330-01578,25.029,3.536,0.489,2.500,5.000,17.651
224,slice0007_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:04596-01626,25.029,4.338,1.256,2.333,8.214,19.088
225,slice0007_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:05453-08547,20.105,4.904,1.189,2.636,7.111,15.620
226,slice0007_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:05516-01584,1.231,2.975,0.258,2.818,3.273,3.624
227,slice0007_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:05712-02694,52.520,4.191,0.847,2.000,7.182,26.930
228,slice0007_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:05974-04511,1.231,2.746,0.485,2.400,3.300,3.624
229,slice0007_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:06806-05370,6.565,2.532,0.423,1.857,3.308,10.715
230,slice0007_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:06808-05362,0.821,2.744,0.580,2.333,3.154,3.843
231,slice0007_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:06884-01525,16.823,4.470,1.062,2.471,6.333,14.559
232,slice0007_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:07058-03798,20.926,3.101,0.555,2.235,4.636,17.276
233,slice0007_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:07564-03728,1.231,4.500,0.278,4.222,4.778,3.624
234,slice0007_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:07642-01156,25.850,4.539,1.103,2.750,7.111,18.182
235,slice0007_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:07824-04210,0.821,3.600,0.566,3.200,4.000,3.843
236,slice0007_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:07902-02401,10.258,3.137,0.505,2.333,4.143,11.246
237,slice0007_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:08151-05915,4.924,3.313,0.532,2.750,4.182,9.434
238,slice0007_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:08228-06202,7.386,3.922,0.504,3.000,5.000,10.715
239,slice0007_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:08780-03153,10.668,4.204,0.661,3.000,5.333,11.621
240,slice0007_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:08913-08236,12.720,4.057,0.642,2.900,5.500,12.527
241,slice0007_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:09261-05940,4.513,3.040,0.585,2.000,4.000,7.247
242,slice0007_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:09431-04936,121.453,5.636,2.409,2.308,12.750,42.239
243,slice0007_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:09517-04414,17.643,3.836,0.534,3.000,5.500,16.526
244,slice0007_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:09711-02994,0.410,3.750,0.000,3.750,3.750,2.562
245,slice0007_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:09714-02991,13.130,3.295,0.378,2.583,4.125,15.245
246,slice0007_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:09859-04350,18.464,4.639,0.964,3.182,7.333,15.089
247,slice0007_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:09907-07481,19.695,4.916,1.332,2.462,9.750,15.995
248,slice0007_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:05576-05573,40086231.959,1.054,0.112,0.000,12.750,28567.547
249,slice0008_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:04330-01578,24.208,3.509,0.416,2.769,4.417,18.027
250,slice0008_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:04596-01626,24.208,4.510,1.046,2.727,7.357,18.182
251,slice0008_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:05452-08547,18.464,5.115,1.224,2.818,7.200,15.620
252,slice0008_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:05516-01584,2.462,2.885,0.292,2.538,3.273,6.406
253,slice0008_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:05712-02694,49.648,4.196,0.643,2.538,5.545,25.649
254,slice0008_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:06806-05369,6.975,2.757,0.560,2.000,3.818,9.809
255,slice0008_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:06808-05362,0.821,2.484,0.078,2.429,2.538,3.624
256,slice0008_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:06884-01525,16.823,4.472,0.938,3.091,6.400,14.559
257,slice0008_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:07057-03798,20.105,3.666,0.713,2.375,5.300,17.276
258,slice0008_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:07564-03728,1.231,4.088,0.299,3.778,4.375,3.624
259,slice0008_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:07642-01156,25.029,4.379,1.016,2.545,6.556,18.182
260,slice0008_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:07902-02401,11.078,3.050,0.496,2.000,4.111,11.621
261,slice0008_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:08151-05915,4.513,3.518,0.478,2.750,4.182,8.528
262,slice0008_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:08227-06202,3.283,3.596,0.388,3.100,4.222,5.811
263,slice0008_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:08780-03152,8.617,4.141,0.599,3.091,6.000,10.340
264,slice0008_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:08913-08236,13.540,3.644,0.549,2.364,4.600,13.277
265,slice0008_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:09260-05940,2.872,3.177,0.682,2.000,4.250,6.716
266,slice0008_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:09429-04936,114.888,5.182,2.221,2.133,12.947,40.427
267,slice0008_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:09517-04414,13.130,3.511,0.508,2.364,4.429,13.277
268,slice0008_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:09713-02991,11.489,3.329,0.499,2.417,4.222,14.714
269,slice0008_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:09859-04350,18.874,4.547,0.873,2.900,6.444,15.464
270,slice0008_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:09907-07481,19.695,4.890,1.122,2.889,7.300,16.370
271,slice0008_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:05576-05573,40086231.139,1.058,0.113,0.000,12.947,28567.547
272,slice0009_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:04330-01578,18.874,3.221,0.432,2.462,4.500,15.840
273,slice0009_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:04595-01626,24.619,4.171,1.191,2.154,7.143,18.557
274,slice0009_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:05452-08547,19.695,4.629,0.975,2.909,6.800,15.995
275,slice0009_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:05515-01585,1.641,2.946,0.386,2.385,3.200,4.905
276,slice0009_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:05712-02694,46.776,3.969,0.723,2.455,6.500,25.274
277,slice0009_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:05970-04509,0.410,2.900,0.000,2.900,2.900,2.562
278,slice0009_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:05969-04511,1.641,2.318,0.148,2.143,2.462,5.435
279,slice0009_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:05972-04509,0.410,2.154,0.000,2.154,2.154,2.562
280,slice0009_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:05972-04511,0.410,2.636,0.000,2.636,2.636,2.562
281,slice0009_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:06806-05369,6.155,2.875,0.382,2.158,3.455,8.903
282,slice0009_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:06883-01525,16.413,4.620,1.167,2.231,8.222,14.183
283,slice0009_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:07058-03798,19.285,3.652,0.828,2.200,5.250,15.620
284,slice0009_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:07642-01156,24.619,4.324,0.968,2.600,7.222,17.651
285,slice0009_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:07902-02401,8.617,3.296,0.473,2.273,4.000,10.715
286,slice0009_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:08150-05916,6.565,3.430,0.528,2.400,4.714,9.809
287,slice0009_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:08779-03153,8.206,4.089,0.475,3.444,5.125,9.809
288,slice0009_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:08913-08235,11.489,3.751,0.620,2.750,5.000,12.372
289,slice0009_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:09260-05940,2.462,2.718,0.290,2.308,3.200,5.811
290,slice0009_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:09427-04935,110.374,4.984,2.256,1.875,11.875,38.771
291,slice0009_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:09517-04413,1.231,2.963,0.140,2.875,3.125,5.124
292,slice0009_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:09713-02991,13.951,3.352,0.351,2.556,4.000,17.962
293,slice0009_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:09858-04350,16.002,3.639,1.201,1.556,5.444,14.183
294,slice0009_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:09907-07482,20.105,4.787,1.120,3.125,6.778,15.995
295,slice0009_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:05576-05573,40086231.959,1.060,0.113,0.000,11.875,28567.547
296,slice0010_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:04331-01578,11.078,3.032,0.419,2.385,3.900,11.996
297,slice0010_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:04595-01626,22.157,4.102,1.227,2.091,7.556,18.182
298,slice0010_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:05452-08547,19.695,4.772,0.921,3.091,6.667,15.995
299,slice0010_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:05515-01584,2.462,3.111,0.224,2.833,3.400,5.435
300,slice0010_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:05712-02695,45.545,3.792,0.759,2.167,5.875,25.274
301,slice0010_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:05970-04511,4.513,2.489,0.315,2.000,3.000,9.434
302,slice0010_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:06805-05369,4.513,2.458,0.296,1.800,2.917,9.809
303,slice0010_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:06807-05362,0.410,2.846,0.000,2.846,2.846,2.562
304,slice0010_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:06884-01526,16.823,4.346,1.019,2.733,6.400,15.089
305,slice0010_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:07058-03798,19.285,3.262,0.500,2.357,4.100,16.370
306,slice0010_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:07642-01157,24.619,4.432,1.047,2.455,7.889,18.182
307,slice0010_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:07823-04210,1.231,3.756,0.384,3.375,4.143,3.624
308,slice0010_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:07902-02401,9.027,3.078,0.551,2.364,4.833,10.715
309,slice0010_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:08148-05917,5.334,3.211,0.486,2.545,4.000,8.528
310,slice0010_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:08780-03153,9.437,4.225,0.630,2.818,5.125,11.246
311,slice0010_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:08913-08235,11.899,3.879,0.664,2.800,5.125,11.996
312,slice0010_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:09261-05940,1.231,2.606,0.284,2.333,2.900,4.905
313,slice0010_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:09430-04936,96.834,5.197,2.090,2.091,11.308,37.865
314,slice0010_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:09713-02991,15.592,3.199,0.393,2.364,4.125,16.150
315,slice0010_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:09859-04350,17.233,4.326,0.867,2.818,6.667,14.714
316,slice0010_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:09907-07482,19.695,5.052,1.304,2.545,7.778,16.370
317,slice0010_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:05576-05573,40086231.549,1.062,0.114,0.000,11.308,28567.547
318,slice0011_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:03216-01275,0.410,3.250,0.000,3.250,3.250,1.812
319,slice0011_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:04330-01578,6.155,2.708,0.449,1.857,3.400,10.185
320,slice0011_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:04595-01626,20.516,4.040,1.133,2.250,7.300,17.276
321,slice0011_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:05452-08547,18.054,4.722,0.920,2.727,7.000,14.934
322,slice0011_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:05713-02695,40.211,3.653,0.684,2.231,5.500,23.462
323,slice0011_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:05971-04513,5.744,2.384,0.278,1.929,3.000,10.340
324,slice0011_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:06805-05368,3.693,2.530,0.359,2.235,3.308,6.716
325,slice0011_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:06808-05362,0.821,2.423,0.163,2.308,2.538,3.843
326,slice0011_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:06884-01526,16.413,4.418,1.050,1.867,6.273,14.559
327,slice0011_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:07058-03798,19.695,3.281,0.437,2.455,4.182,17.276
328,slice0011_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:07642-01157,23.798,4.276,0.830,2.900,6.125,17.807
329,slice0011_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:07822-04210,0.410,3.000,0.000,3.000,3.000,2.562
330,slice0011_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:07902-02401,9.027,2.995,0.459,2.083,4.000,10.715
331,slice0011_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:08147-05918,4.513,3.059,0.612,2.000,4.429,8.153
332,slice0011_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:08779-03153,8.206,3.826,0.535,2.909,5.000,10.340
333,slice0011_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:08914-08236,11.078,3.922,0.525,2.900,5.000,12.372
334,slice0011_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:09260-05941,0.821,3.579,0.191,3.444,3.714,3.843
335,slice0011_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:09428-04935,93.141,5.281,2.201,2.000,11.923,36.584
336,slice0011_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:09713-02991,11.078,3.131,0.410,2.300,4.250,13.277
337,slice0011_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:09859-04350,17.233,4.200,0.739,3.000,5.875,14.714
338,slice0011_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:09907-07482,20.105,5.058,1.227,3.000,8.000,15.995
339,slice0011_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:05576-05573,40086230.729,1.062,0.113,0.000,11.923,28567.547
340,slice0012_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:04332-01578,0.821,2.083,0.236,1.917,2.250,2.718
341,slice0012_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:04595-01626,18.464,3.804,0.957,2.250,6.000,16.370
342,slice0012_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:05452-08547,18.054,4.791,0.943,2.909,6.625,15.464
343,slice0012_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:05714-02696,29.543,2.856,1.054,1.125,4.700,19.994
344,slice0012_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:05970-04512,2.462,2.568,0.436,1.929,3.100,6.716
345,slice0012_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:06806-05369,5.334,2.477,0.327,1.929,3.000,9.654
346,slice0012_Result of After_GA3_B3 Region1_Merged_RAW_ch01.tif:06809-05362,0.821,2.286,0.202,2.143,2.429,3.843
